
/dbl0	location country form
/dbl1	tv program regular
/dbl2	media common netflix
/dbl3	award winner awards
/dbl4	soccer football team
/dbl5	sports position players.
/dbl6	government political district
/dbl7	film starring. performance
/dbl8	soccer football team
/dbl9	film actor film.
/dbl10	award nominated work
/dbl11	award category nominees.
/dbl12	organization membership members.
/dbl13	award nominee nominations.
/dbl14	olympics olympic sport
/dbl15	music performance role
/dbl16	award category winners.
/dbl17	film release date
/dbl18	people marriage union
/dbl19	award winning work
/dbl20	film release date
/dbl21	film language
/dbl22	music artist genre
/dbl23	location containedby
/dbl24	people person ethnicity
/dbl25	education educational institution
/dbl26	award category nominees.
/dbl27	award ceremony awards
/dbl28	location contains
/dbl29	organization headquarters. location
/dbl30	people person profession
/dbl31	film job films
/dbl32	people profession with
/dbl33	film costumer designer
/dbl34	location statistical region
/dbl35	film genre films
/dbl36	tv genre programs
/dbl37	award nominee nominations.
/dbl38	music genre artists
/dbl39	influence node influenced
/dbl40	education educational institution
/dbl41	organization member of.
/dbl42	people person place
/dbl43	common topic webpage.
/dbl44	media common netflix
/dbl45	sports position players.
/dbl46	film other crew.
/dbl47	award ceremony awards
/dbl48	film country
/dbl49	olympics olympic sport
/dbl50	award winning work
/dbl51	base schemastaging tv
/dbl52	film genre
/dbl53	award nominated work
/dbl54	film distributor films
/dbl55	location statistical region
/dbl56	film estimated budget.
/dbl57	location administrative division
/dbl58	government legislative session
/dbl59	sports team roster.
/dbl60	government office category
/dbl61	award nominee nominations.
/dbl62	people deceased person
/dbl63	music group member
/dbl64	film production company
/dbl65	sports pro athlete
/dbl66	base schemastaging athlete
/dbl67	music artist track
/dbl68	organization acquired by.
/dbl69	music instrument instrumentalists
/dbl70	military combatant conflicts.
/dbl71	people person education.
/dbl72	award category winners.
/dbl73	people person gender
/dbl74	business job title
/dbl75	base popstra celebrity
/dbl76	fictional universe character
/dbl77	education field of
/dbl78	business operation industry
/dbl79	award category winners.
/dbl80	award winner awards
/dbl81	location hud foreclosure
/dbl82	location us county
/dbl83	location statistical region
/dbl84	people person nationality
/dbl85	sports team roster.
/dbl86	music performance role
/dbl87	base nobelprizes nobel
/dbl88	people cause of
/dbl89	tv program languages
/dbl90	user alexander philosophy
/dbl91	common annotation category
/dbl92	music genre parent
/dbl93	base popstra celebrity
/dbl94	influence node influenced
/dbl95	location country capital
/dbl96	film special performance
/dbl97	olympics olympic participating
/dbl98	film writer
/dbl99	soccer football team
/dbl100	film starring. performance
/dbl101	location hud county
/dbl102	location country administrative
/dbl103	organization leadership. leadership
/dbl104	music performance role
/dbl105	location adjoin s.
/dbl106	film subject films
/dbl107	base schemastaging person
/dbl108	government form of
/dbl109	education educational institution
/dbl110	base aareas schema
/dbl111	government political appointer
/dbl112	organization sectors
/dbl113	organization role leaders.
/dbl114	location people born
/dbl115	medicine risk factor
/dbl116	broadcast tv station
/dbl117	government legislative session
/dbl118	olympics olympic games
/dbl119	people person places
/dbl120	government legislative session
/dbl121	location hud foreclosure
/dbl122	award category disciplines
/dbl123	sports professional team
/dbl124	olympics olympic participating
/dbl125	language human countries
/dbl126	symbols namesake named
/dbl127	organization phone number.
/dbl128	award winner awards
/dbl129	people ethnicity
/dbl130	fictional universe character
/dbl131	architecture museum type
/dbl132	olympics olympic participating
/dbl133	olympics olympic participating
/dbl134	film other crew.
/dbl135	olympics olympic games
/dbl136	music performance role
/dbl137	education school category
/dbl138	sports team roster.
/dbl139	metropolitan transit service
/dbl140	music record label
/dbl141	location statistical region
/dbl142	base popstra celebrity
/dbl143	base locations continents
/dbl144	business employer employees.
/dbl145	sports league draft
/dbl146	music musical group
/dbl147	sports team sport
/dbl148	film producer films
/dbl149	education educational institution
/dbl150	sports team league.
/dbl151	american football team
/dbl152	location events
/dbl153	people person religion
/dbl154	organization headquarters. location
/dbl155	film music contributor
/dbl156	music performance role
/dbl157	film produced by
/dbl158	religion religious practice
/dbl159	architecture museum address.
/dbl160	film location featured
/dbl161	organization founders
/dbl162	tv special performance
/dbl163	astronomy celestial object
/dbl164	award winner awards
/dbl165	music artist label
/dbl166	medicine notable person
/dbl167	film producer
/dbl168	people person spouse
/dbl169	film production companies
/dbl170	location country second
/dbl171	sports team roster.
/dbl172	film directed by
/dbl173	sports pro athlete
/dbl174	food ingredient compatible
/dbl175	language human main
/dbl176	sports team location
/dbl177	location statistical region
/dbl178	base culturalevent event
/dbl179	film festival event
/dbl180	base newsevents news
/dbl181	education educational degree
/dbl182	film distributors. distributor
/dbl183	tv program producer.
/dbl184	film distributors. distributor
/dbl185	sports sport teams
/dbl186	music performance role
/dbl187	organization phone number.
/dbl188	sports position players.
/dbl189	government politician positions
/dbl190	sports team location
/dbl191	sports team colors
/dbl192	people deceased person
/dbl193	sports position players.
/dbl194	base popstra celebrity
/dbl195	sports professional team
/dbl196	award nominated work
/dbl197	baseball team stats.
/dbl198	user alexander philosophy
/dbl199	time zone locations
/dbl200	people person languages
/dbl201	american football player
/dbl202	education educational institution
/dbl203	film director
/dbl204	american football team
/dbl205	award ceremony awards
/dbl206	olympics olympic sport
/dbl207	film costume design
